"","year","birth","death","infmortality","stillbirth","marriage","divorce","gdp","g","inf"
"29",1992,21.1,6.47638650277895,18.6009955462405,12.5468891475876,21.0401871632357,1.44042655807215,4.6435,-0.336737608913012,4.64351929883709
"30",1993,20.3,6.77386870560145,19.6157463388419,14.8680843554222,21.0989651919931,1.38885724570653,10.5178,1.26505868418219,10.5178384472896
"31",1994,19.6,6.65284327709605,18.0775407203487,12.4156056006162,20.5175771858347,1.31762608000848,7.3235,-0.303704196695126,7.32347154412292
"32",1995,18.3126908221773,6.65259803336191,19.6603241033627,14.3419033000767,18.935619961537,1.42765734085007,6.0293,-0.176718782003141,6.0293318848453
"33",1996,18.3,6.8,22.1,12.6,18.9,1.4,6.551,0.0865274575821406,6.55097336065574
"34",1997,17.4,7,20.3,12.7,19,1.6,6.8333,0.0430926576095253,6.83334334996103
"35",1998,16.7,6.8,19.3,11.5,18.8,1.7,6.8108,-0.00329269898877555,6.81079323797192
"36",1999,17.3,6.8,19.5,11,19.2,2,6.9091,0.0144329594173958,6.90914624866776
"37",2000,17,6.7,15.9,13,18.5,2,4.1993,-0.392207378674502,4.19928825622809
"38",2001,16.5,6.7,14.3,12.2,17.8,2.5,5.3893,0.283380563427238,5.38934426229505
"39",2002,16.6,6.9,14.9,10.1,17.4,2.1,6.4193,0.19111944037259,6.41933372221152
"40",2003,15.9,7,12.9,11.2,17.8,2,3.9211,-0.38917015874005,3.92105357558194
"41",2004,15.7,6.9,14.4,9.8,18.6,1.9,4.7104,0.201295554818801,4.71037060105885
"42",2005,15.3,7,13.2,9.7,18.4,1.8,4.9372,0.048148777173913,4.93717004981793
"43",2006,14.3,7.4,14.1,8.3,18.6,2.2,8.9135,0.805375516487078,8.91350105650139
"44",2007,13.7,6.9,15.3,10,18.6,2.1,8.8273,-0.0096707241824201,8.827292723933
"45",2008,13.2,7.2,14.4,10,18,2.5,9.7323,0.102522855233197,9.73228317146871
"46",2009,12.3,7.4,13.4,8.9,17,3.5,2.5161,-0.741469128571869,2.51609128145122
"47",2010,12,7.3,12.5,6.8,16.9,2.9,2.9324,0.165454473192639,2.9323630136986
"48",2011,11.7,7.3,12.9,9.4,16.8,2.9,6.5225,1.2242872732233,6.5224925486934
"49",2012,11.5,7.4,13.7,9.6,16.5,3.2,3.8522,-0.409398236872365,3.85216033315973
"50",2013,10.9,7.5,12.1,8.5,15.2,2.5,3.5433,-0.0801879445511656,3.54329573934839
"51",2014,10.6,7.7,14.5,10.2,15.8,3.6,3.2177,-0.0918917393390343,3.21769191994685
"52",2015,10.1,7.7,13.6,9.7,15.4,3.4,1.2865,-0.600180252975728,1.2865497076024
"53",2016,10.4,8.1,11.8,9.6,15.9,3,0.9777,-0.240031092110377,0.977675134718965
"54",2017,10.7,8,12.2,9.9,15.4,3.2,3.667,2.75063925539532,3.66699702675916
"55",2018,10.2,8.5,14,9.9,15.9,3.8,3.2161,-0.122961548950095,3.21605383144579
